"Source_ID","eHRAF_Doc_ID","Publication_date","Source_citation","Time_frame","Time_type","Description_ID"
"Raybeck1986","an05-197","1986","Raybeck, D. (1986). The elastic rule: Conformity and deviance in Kelantan village life. Cultural identity in Northern Peninsular Malaysia (pp. 55-74). Athens, Ohio: Ohio University Press. Retrieved from https://ehrafworldcultures.yale.edu/.","1968-1969","Field","YIRAC"
"Wilkinson1925","an05-020","1925","Wilkinson, R. J. (1925). Papers on Malay subjects: Life and Customs, Part III: Malay Amusements. Kuala Lumpur: F.M.S. Government Press. Retrieved from https://ehrafworldcultures.yale.edu/.",NA,"Field","H6Q6I;PTM1S;RGOG5;TRI57;MWIW6;IJFYO;TC6WQ;AEZ6G;3TXWS;Z1GS2;QXSXI;UXBPV;BAMAF;SCKPD;ZCQBK;QUUOQ;5JPD1;SKMEE;YUYVY;N0FQN;EVIIM;0HUBV;QNTHO;XVNSW;EJZQL;YAPO2;XQTA8;CLTMP;EQKWP;IHKDV;YSBPM;SUAHV;ILXOE;C7J8I;X9O2M;N33U7;0L108;KB5G6;FRFX5;BVUJP"
"Wilkinson1920","an05-018","1920","Wilkinson, R. J. (1920). The Incidents of Malay Life. Singapore: Kelly & Walsh. Retrieved from https://ehrafworldcultures.yale.edu/.",NA,NA,"UYPFW"
"Winstedt1950","an05-001","1950","Winstedt, R. (1950). The Malays: A Cultural History. New York: The Philosophical Library. Retrieved from https://ehrafworldcultures.yale.edu/.",NA,NA,"D0XJL"
"CarrierCarrier1989","om06-009","1989","Carrier, J. G., & Carrier, A. H. (1989). Wage, trade, and exchange in Melanesia: a Manus society in the modern state. University of California Press. Retrieved from https://ehrafworldcultures.yale.edu/.","1978-1986","Field","FXJQX"
"Gustafsson1992","om06-010","1992","Gustafsson, B. (1992). Houses and ancestors: Continuities and discontinuities in leadership among the Manus. Göteborg: IASSA. Retrieved from https://ehrafworldcultures.yale.edu/.","1990-1992","Field","YGGOO;9K7AD;PMXZK;P3CKX;XMYEO"
"Best1924a","oz04-002","1924","Best, E. (1924). The Māori: Volume 2. Wellington: Harry H. Tombs Limited. Retrieved from https://ehrafworldcultures.yale.edu/.","1870-1920","Field","79OZB;VMKJ8;9Z7SD;CHREK;9R16P;RVLYV;HDAGF;L43WK;B4GCE;LAGHS;HZAGY;BRLJZ;E1VWR;VXLDV;WGBTE;GQKAU;9ZQC4;JKTL9;IOJWE;0WMP6;K4PIP;S2KWP;3AVK6;WODHQ;AGHEV;DXQLI;7YHEU;O6KMI;HWP1G;EGUAT;IZRUJ;MNIIN;WY4QC;HBVWI;FVGQF;JLENV;Q2ETY;XUJNP;YWTHS;2JLJL;FEBCS"
"Buck1952","oz04-003","1952","Buck, P. H. (1952). The coming of the Maori. Wellington: Maori Purposes Fund Board. Retrieved from https://ehrafworldcultures.yale.edu/.","1910-1945","Field","OEQXV;3BDBQ;H3THO;GLI0C;TXVS5;XYE61;TXTAZ;XQH67;SQUBA;DDLML;VM5SL;KBMPP;5NLZ7;B2W06;M6YA3;KUGKA;ZYMP9"
"Handy1923","ox06-001","1923","Handy, E. S. C. (1923). The native culture in the Marquesas. Honolulu: The Museum. Retrieved from https://ehrafworldcultures.yale.edu/.","1920-1921","Field","N6YZU;AZNMC;0SONV;VQA4E;BCEBX;RYMVQ;INOCS;VEHQO;DZQNQ;KBNBA;UCUD1"
"Linton1923","ox06-007","1923","Linton, R. (1923). The material culture of the Marquesas Islands. Honolulu: Bishop Museum Press. Retrieved from https://ehrafworldcultures.yale.edu/.","1920-1921","Field","DCFKT;2KFGS;JFEWO;BXS1I"
"Erdland1914","or11-003","1914","Erdland, A. (1914). The Marshall Islanders: Life and Custom, Thought and Religion of a South Seas People. Münster: HRAF. Retrieved from https://ehrafworldcultures.yale.edu/.","1900-1914","Focus","8HS15;320LR;JYYCI;PAYYK;3443C;FV50J"
"KramerNevermann1938","or11-002","1938","Krämer, A., & Nevermann, H. (1938). Ralik-Ratak (Marshall Islands). Hamburg: Friedrichsen, De Gryter & Company. Retrieved from https://ehrafworldcultures.yale.edu/.","1908-1909","Field","ZKOML;S5149;MVAWL;7RD1X;SL252;XCIUW"
"Spoehr1949","or11-001","1949","Spoehr, A. (1949). Majuro: A village in the Marshall Islands. Chicago: Chicago Natural History Museum. Retrieved from https://ehrafworldcultures.yale.edu/.","1947","Field","UWIVI;MMHV5;VNL8R;JWSWN;YWPON"
"Schefold1988","od09-010","1988","Schefold, R. (1988). Lia: Das große Ritual auf den Mentawai-Inseln (Indonesien). Berln: Reimer. Retrieved from https://ehrafworldcultures.yale.edu/.","1967-1969 ; 1974 ; 1978 ; 1983","Field","41VPH"
"Metraux1940","oy02-001","1940","Métraux, A. (1940). Ethnology of Easter Island. The Museum. Retrieved from https://ehrafworldcultures.yale.edu/.","1934-1935","Field","GVHF3;1FEAD"
"Buck1930","ou08-005","1930","Buck, P. H. (1930). Samoan material culture. Honolulu: The Museum. Retrieved from https://ehrafworldcultures.yale.edu/.","1927-1928","Field","6VZOQ;5SVYL;UIVXZ;OFBCU;C1S0P;TJVCR;GPKQA;EK7ZW;CMP3P;NZFQT;V1W0Y;OGU8P;FMOLA;KIPGL;NURHV"
"Holmes1958","ou08-022","1958","Holmes, L. D. (1958). Ta'u: Stability and change in a Samoan village. Wellington: The Polynesian Society, Inc. Retrieved from https://ehrafworldcultures.yale.edu/.","1954","Field","XOMQY;36JRA;ZEGPR;9KHX0;30FYP;CY88L;C2WOG"
"OMeara1990","ou08-021","1990","O'Meara, J. T. (1990). Samoan planters: Tradition and economic development in Polynesia. Fort Worth: Rinehart and Winston. Retrieved from https://ehrafworldcultures.yale.edu/.","1981-1984","Field","DGAAE;NCNL2;MUBUO;QO8MC;6WH2G;ALMMC"
"Setchell1924","ou08-009","1924","Setchell, W. A. (1924). Ethnobotany of the Samoans. Washington D.C.: Carnegie Institution of Washington. Retrieved from https://ehrafworldcultures.yale.edu/.","1981-1984","Field","E3T5H;FDUDB;L1ERP;3BVSK"
"Stair1897","ou08-017","1897","Stair, J. B. (1897). Old Samoa: Or, Flotsam and Jetsam from the Pacific Ocean. London: The Religious Tract Society. Retrieved from https://ehrafworldcultures.yale.edu/.","1838-1845","Field","BWEGK;YTWV3;VGA10;00XHI;2H9T4;8380Z;UIHA9;U6AWY;WOODU;3OJ0H;VC5RN;YPEJA;PWYCV;ENJNE"
"Turner1884","ou08-016","1884","Turner, G. (1884). Samoa, a hundred years ago and long before: together with notes on the cults and customs of twenty-three other islands in the Pacific. London: Macmillan. Retrieved from https://ehrafworldcultures.yale.edu/.","1840-1880","Field","KWJKB;XPQ7O;7YWAO;YNTGZ;UOQBQ;Q6IQR;6WTCR;G74WZ;8XXZO;35ARP;THQTX;NQDK2;AIDDA;LXY6U;BPTQH;DYVTW;UGSHA"
"GraebnerSchutze1909","on13-001","1909","Graebner, F., & Schütze, F. (1909). Ethnography of the Santa Cruz Islands. Leipzig: Ethnologica. Retrieved from https://ehrafworldcultures.yale.edu/.",NA,"Field","MUXNO;UD1JV;CRSZV"
"DeaconWedgwood1934","oo12-004","1934","Deacon, B. & Wedgwood, C.H. (1934). Malekula: A Vanishing People In The New Hebrides. London: George Routledge and Sons, Ltd. Retrieved from https://ehrafworldcultures.yale.edu/.","1925-1927","Field","FENIA;GLZEU;AS875"
"Funabiki1981","oo12-006","1981","Funabiki, T. (1981). On Pigs on the Mbotgote in Malekula in Vanuatu. Politics, Economics and Ritual in Island Melanesia. Sydney: Academic Press. Retrieved from https://ehrafworldcultures.yale.edu/.","1975-1976","Field","Y74GB"
"Linton1933","fy08-001","1933","Linton, R. (1933). The Tanala, a hill tribe of Madagascar. Chicago: Field Museum of Natural History. Retrieved from https://ehrafworldcultures.yale.edu/.","1926-1927","Field","CZUGE;IV75V;Q3OSB;DKRDZ;D5UAO"
"Firth1961","ot11-027","1961","Firth, R.W. (1961). History and traditions of Tikopia. Wellington: The Polynesian Society. Retrieved from https://ehrafworldcultures.yale.edu/.","1928-1929 ; 1952","Field","AZDV0;XGGSK;IBAJP"
"Firth1936","ot11-002","1936","Firth, R.W. (1936) We, the Tikopia: A sociological study of kinship in primitive Polynesia. London: George Allen and Unwin, Ltd. Retrieved from https://ehrafworldcultures.yale.edu/.","1928-1929","Field","1FTET"
"Rivers1914","ot11-016","1914","Rivers, W.H.R. (1914). The History of Melanesian Society. Cambridge: Cambridge University Press. Retrieved from https://ehrafworldcultures.yale.edu/.",NA,NA,"1LNDZ;SZ1RF;WDEUP;DWSYU"
"Blackwood1935","on26-001","1935","Blackwood, B. (1935). Both sides of Buka passage: An ethnographic study of social, sexual, and economic questions in the north-western Solomon Islands. Oxford: Clarendon Press. Retrieved from https://ehrafworldcultures.yale.edu/.","1929-1930","Field","XMSFD;8MDXY;5ONH6;XR0V8;HONYD;KQAB5;PLIG6;WVXUG;VJG3O;JOKPQ;CF6LA;RR4NS;JRMZL;D2I0O"
"Anderson1967","ou09-055","1967","Anderson, W. (1967). A journal of a voyage made in His Majesty’s sloop Resolution. The journals of Captain James Cook on his voyages of discovery: Part III. The voyage of the Resolution and Discovery, 1776-1780.Cambridge: Published for the Hakluyt Society at the University Press, pp. 860–966. Retrieved from https://ehrafworldcultures.yale.edu/.","1777","Field","99D3V;JRZQE;IFF3A;MICIO;8832H;4PQ0U;7FLLA;ALSB7;XLHDA"
"CollocottHavea1922","ou09-008","1922","Collocott, E. E. V. & Havea, J. (1922). Proverbial sayings of the Tongans. Honolulu, Hawaii: Bishop Museum Press. Retrieved from https://ehrafworldcultures.yale.edu/.",NA,NA,"JOCW1;P0GG8;MZFIJ;QXA5L;MYXNY;SKL95;RPAU5;QE6OR;ASQRZ;FXNJD;ABYZ0;5JYQ0;FRUVY;UYRGD;EMZE8;U8WHE;VUIYG;IDT07;Z5JLB;ZVUFU;DVSQV;CLRHW;MTJQJ"
"Collocott1928","ou09-006","1928","Collocott, E. E. V. (1928). Tales and poems of Tonga. Honolulu:Bishop Museum Bulletin. Retrieved from https://ehrafworldcultures.yale.edu/.",NA,NA,"APDOX;QBKSS;ZBANU;ZPGJA"
"Gifford1929","ou09-001","1929","Gifford, E. W. (1929). Tongan Society. Honolulu: The Museum Bulletin, 61, 312. Retrieved from https://ehrafworldcultures.yale.edu/.","1920-1921","Field","0PLBN;QYGLQ;LTAIG;OB3NP"
"James1994","ou09-130","1994","James, K. E. (1994). Effeminate males and changes in the construction of gender in Tonga. Pacific Studies, 17(2), 39-69. Retrieved from https://ehrafworldcultures.yale.edu/.","1981-1982","Field","GXSZO"
"Koch1955","ou09-100","1955","Koch, G. (1955). The South Seas—Yesterday and today. Cultural change among the Tongans and an attempt to interpret this development. Braunschweig: Albert Limbach Verlag. Retrieved from https://ehrafworldcultures.yale.edu/.","1951-1952","Field","YQ3UZ;RCLUR;YBBY8;IASWQ;KTRAB;UKVNO;AMABV;D3UWW;ZVDQ2;IFDZZ;RZKWS;UUJVE;HYZPZ;TP2CV;RSCKK;ATEAF;IRHE2;XG19Q;JXQ90;PO2DF;9JVUW;UHSLD;GY3DG;DTUVL;7JCFU;Y9W9J;BMZPF"
"Lee1996","ou09-107","1996","Lee, H. M. (1996). Becoming Tongan: An ethnography of childhood. Honolulu: University of Hawaii Press. Retrieved from https://ehrafworldcultures.yale.edu/.","1979-1989","Field","6EQHY;YLTJQ;HFLBR;DKSNV;NIXCV;LYD1Y;YC6UX;YMWUC;ZLBVN;HPHAY;MHF1V;P5TTY;UTPDV;ZQXTA;LGTMN"
"Mariner1818","ou09-003","1818","Mariner, W. (1818). An Account of the Natives of the Tonga Islands, in the South Pacific Ocean: With an Original Grammar and Vocabulary of Their Language; in Two Volumes. London: John Murray. Retrieved from https://ehrafworldcultures.yale.edu/.","1806-1810","Field","MKOSP;YSUVM;AIW85;YHFWV;4ZNK8;O9L7D;MHGHS;DJEKY;CUSML;0ZDLY;XLJ1K;ZSUBU;KHIV1;LDQZJ;EXGWQ;HTBEU;AYM2F"
"Urbanowicz1973","ou09-074","1973","Urbanowicz, C. F. (1973). Tongan culture: the methodology of an ethnographic reconstruction. Ann Arbor: University Microfilms. Retrieved from https://ehrafworldcultures.yale.edu/.","1970-1971","Field","LQZLO"
"Whitcombe1930","ou09-077","1930","Whitcombe, J. D. (1930). Notes on Tongan Ethnology. Honolulu: Bishop Museum. Retrieved from https://ehrafworldcultures.yale.edu/.","1970-1971","Field","L5CXS;HUIBQ;BS4AT;GTSM0;5JUJU"
"AdrianiKruijt1951a","og11-003","1951","Adriani, N., & Kruijt, A. C. (1951). The Bare’e-speaking Toradja of Central Celebes (the East Toradja): Second volume. Amsterdam: Noord-Hollandsche Uitgevers Maatschappij. Retrieved from https://ehrafworldcultures.yale.edu/.","1892-1932","Field","HVKZH;EPZR6;6CAA6;95D9T;LHOVV;QDLF1;ZXHHD;YL1MH;DJBWW;YTYWY;QZE5Z;XQWJM;ETK5T;QXZFY;I3SSD;LDBFS;V3SI4;NYP4R;V8AW2;RCFZE;JTEWX;COTQR"
"AdrianiKruijt1951b","og11-004","1951","Adriani, N., & Kruijt, A. C. (1951). The Bare’e-speaking Toradja of Central Celebes (the East Toradja): Third volume. Amsterdam: Noord-Hollandsche Uitgevers Maatschappij. Retrieved from https://ehrafworldcultures.yale.edu/.","1892-1932","Field","IBMBN;GL18D;3PGO2;I1N8K;8QYB3;SUJCU;RMSVB;XP3SS;ESOIW;ABQQI"
"BeierleMalone1997","og11-000","1997","Beierle, J. & Malone, M. J. (1997). Culture summary: Eastern Toraja. New Haven: HRAF. Retrieved from https://ehrafworldcultures.yale.edu/.",NA,NA,"6O8LS"
"Bollig1927","or19-022","1927","Bollig, L. (1927). The inhabitants of the Truk Islands: Religion, life, and a short grammar of a Micronesian people. Münster: Aschendorff. Retrieved from https://ehrafworldcultures.yale.edu/.","1912-1920","Field","3RJ9L;HQZ05;SYID9;L5NZV;7JS9F;REDDS"
"Fischer1950","or19-027","1950","Fischer, A. (1950). The Role of the Trukese Mother and Its Effect on Child Training. Washington D.C.: Pacific Science Board. Retrieved from https://ehrafworldcultures.yale.edu/.","1949","Field","Z1UUX;ONBL7"
"GladwinSarason1953","or19-002","1953","Gladwin, T., & Sarason, S. B. (1953). Truk: man in paradise. New York: Wenner-Grenn Foundation for Anthropological Research. Retrieved from https://ehrafworldcultures.yale.edu/.","1947-1951","Field","ZHCHV;RK0VK;RUKYR;0VX6K;UM7ZT;FU2DZ;RRNVF;1N46C;OIPPN;T9PV3;XIMVD;EHD1E"
"Marshall1979","or19-033","1979","Marshall, M. (1979). Weekend warriors: Alcohol in a Micronesian culture. Palo Alto: Mayfield Pub. Retrieved from https://ehrafworldcultures.yale.edu/.","1969-1971 ;  1976","Field","WGZDA"
"Lessa1950","or20-001","1950","Lessa, W. A. (1950). The Ethnography of Ulithi Atoll. Los Angeles: University of California. Retrieved from https://ehrafworldcultures.yale.edu/.","1947-1949","Field","3QRUQ;IVACF;ZCBUR"
"Hogbin1946a","oj27-008","1946","Hogbin, H. I. (1946). Puberty to marriage: A study of the sexual life of the natives of Wogeo, New Guinea. Oceania, 16(3), 185-209. Retrieved from https://ehrafworldcultures.yale.edu/.","1934","Field","OIYT0;O0UNA;IERTC;V4RQZ"
"Hogbin1938b","oj27-011","1938","Hogbin, H. I. (1938). Social reaction to crime: law and morals in the Schouten Islands, New Guinea. The Journal of the Royal Anthropological Institute of Great Britain and Ireland, 68, 223-262. Retrieved from https://ehrafworldcultures.yale.edu/.",NA,NA,"UVZD1"
"BurrowsSpiro1953","or21-042","1953","Burrows, E. G., & Spiro, M. E. (1953). An atoll culture: Ethnography of Ifaluk in the Central Carolines. New Haven: Human Relations Area Files. Retrieved from https://ehrafworldcultures.yale.edu/.","1947-1948","Field","4ZGBR;MNIRI;EBLLM;HV0DG;OMSKY;LVZ6W"
"Kramer1937","or21-004","1937","Krämer, A. F. (1937). The Central Carolines. Part I: The Lamotrek Group, Woleai, Fais. In Ergebnisse der Südsee Expedition, 1908-1910. Edited by Georg Thilenius. Hamburg: De Gruyter, 10. Retrieved from https://ehrafworldcultures.yale.edu/.","1908-1910","Field","FHHAA;5U8ZR"
"Spiro1949","or21-028","1949","Spiro, M. E. (1949). Ifaluk: A South Sea Culture. Washington: Pacific Science Board. Retrieved from https://ehrafworldcultures.yale.edu/.","1947-1948","Field","2NRVO;NQCDV;RKWPF;RLFR5;EAY3I"
"Muller1917","or22-006","1917","Müller, W. (1917). Yap. Hamburg: L. Friederichsen & co. Retrieved from https://ehrafworldcultures.yale.edu/.","1909-1910","Field","ECRDX;AASZN;9FJBS;DZCYQ;U2E0O;GAMLT;JCNWV;G34P5;6IKCL;GEMPB;I8EU0;27EVG;X3TWQ;JWG0W;AEBYO;DXWQC;OBF6Z;T3HVQ;4DLLA;5Y36C"
"Salesius1906","or22-002","1906","Salesius, F. (1906). The Carolines Island Yap. Berlin: Wilhelm Süsserot.  Retrieved from https://ehrafworldcultures.yale.edu/.",NA,NA,"KNDHZ;YBCIN;5ELRU;XGVKQ"
"Senfft1903","or22-005","1903","Senfft, A. (1903). Ethnographic Contributions Concerning The Caroline Islands Of Yap. Georgaphischer Anstalt, 49. Retrieved from https://ehrafworldcultures.yale.edu/.","1900","Field","TVHO1;DH1VV;YSDD6;ZULFW"
"Walleser1913","or22-021","1913","Walleser, S. (1913). Religious views and customs of the inhabitants of Yap (German South Seas). Anthropos, 8. Retrieved from https://ehrafworldcultures.yale.edu/.","1910","Field","UPAB7"
"Bloch1977",NA,"1977","Bloch, M. (1977). The disconnection between power and rank as a process: an outline of the development of kingdoms in central Madagascar. European Journal of Sociology, 18(1), 107-148.",NA,NA,"LEK7M"
"Davis1947",NA,"1947","Davis, T. R. (1947). Rarotonga Today. The Journal of the Polynesian Society, 56(2), 197-218.","1925-1947","Field","CMSXD;Z3CWE;WW8SQ"
"Somerville1897",NA,"1897","Somerville, B. T. (1897). Ethnographical notes in New Georgia, Solomon Islands. The Journal of the Anthropological Institute of Great Britain and Ireland, 26, 357-412.","1893-1894","Field","LT6S6"
"Turner1878",NA,"1878","Turner, W. Y. (1878). The Ethnology of the Motu. The Journal of the Anthropological Institute of Great Britain and Ireland, 7, 470-499.",NA,NA,"UTQJM;5A1M8"
"Codrington1891",NA,"1891","Codrington, R. H. (1891). The Melanesians: Studies in their anthropology and folk-lore. Oxford: Clarendon Press.",NA,NA,"NCFYK;JJW8D;0SINI;N7ITI;KUYOQ;PAYD9;VDLFR;QYH3F;XOLVS;7PYHN"
"Hogbin1943c","oj27-006","1943","Hogbin, H. I. (1943). A New Guinea infancy: From conception to weaning in Wogeo. Oceania, 13(4), 285-309.","1934","Field","LTYSS"
"Jolly2003",NA,"2003","Jolly, M. (2003). Spouses and Siblings in Sa Stories 1. The Australian journal of anthropology, 14(2), 188-208.",NA,NA,"RGD9J"
"Kolshus1999",NA,"1999","Kolshus, T. S. (1999). Purism, Syncretism, Symbiosis: Cohabiting Traditions on Mota, Banks Islands, Vanuatu. Doctoral dissertation. University of Oslo.","1996-1997","Field","YGKTU"
"Berger2012",NA,"2012","Berger, L. (2012). Ritual, history and cognition: From analogy to hegemony in highland Malagasy polities. Anthropological Theory, 12(4), 351-385.",NA,NA,"W6JAA"
"Feinberg1988",NA,"1988","Feinberg, R. (1988). Socio-spatial symbolism and the logic of rank on two Polynesian outliers. Ethnology, 27(3), 291-310.",NA,NA,"POEBR"
"Christian1899",NA,"1899","Christian, F. W. (1899).  The Caroline Islands: Travel in the Sea of the Little Lands. New York, NY: Charles Scribner's Sons.","1882-1884","Field","1XV0L;UMUKG"
"Christie1909",NA,"1909","Christie, E. B. (1909). The Subanuns of Sindangan bay. Ann Arbor: The University of Michigan.","1905-1906","Field","RCHAQ;2TFWJ;XTFT7"
